"Pima, AZ",1020200,37.7,225316,349759,153660,446,990213,192,11892,1938,424149,21,24,1901,681,2884,396,307,1321,1297,2595,337,2688,140437,491362,9,5241,96,8479,11265,7576,39099,149742,6183,8297,336407,351928,20.5,338802,243167,28662,22148,22569,23028,22348,23633,20625,19029,16942,32348,36362,42568,24615,13648,11281,10458,15455,33136,43243,18.9,980263,136517,106.7,481437,498826,541700,34674,32605,25731
"Yavapai, AZ",215686,49.2,40269,53950,51339,1779,209365,60,2879,339,64053,7,24,884,215,876,129,74,316,343,545,83,737,13717,98213,10.5,758,4,1256,3540,292,30077,26388,760,930,78356,81504,21.8,28728,57597,5909,5341,5084,5651,5287,6001,5373,5221,4668,7759,8557,9412,4846,2345,2189,2064,15921,5194,40837,14.2,211033,43516,26,103458,107575,172968,1267,3549,1785
"ARKANSAS",2889450,37.4,711475,1026205,413681,2343,2838143,1483,50877,7177,880270,684,343,5723,2877,11146,2447,1018,4477,2890,5747,560,7338,153755,1353193,7.9,14264,162,33144,68506,6437,37501,478965,8422,14483,978556,1027589,19.9,186050,775811,115369,87121,80945,80938,73323,71366,63707,58603,52973,93175,102735,105867,54018,27585,22426,19484,14038,136038,37888,18.5,2915918,242518,56,1431637,1484281,2173469,449895,22248,36102
"St. Francis, AR",26255,37.2,6677,10433,3305,2028,26769,13,320,0,0,6,4,45,9,123,13,8,34,19,30,4,65,519,10157,10.2,142,0,392,1096,55,33961,4808,53,53,9752,9789,17.8,1149,6531,1980,889,1002,775,623,458,499,653,409,770,742,476,256,41,52,104,12141,2369,28880,31.8,28258,-1071,44.5,15393,12865,11973,14667,148,136
"CALIFORNIA",36961664,35.2,9295040,14423538,4148055,6408,36308527,7176,844187,43716,9120605,1877,1095,71028,40557,107971,21178,20418,50762,46498,111847,11640,99416,12781240,18176230,12.4,185172,2142,237715,650500,192529,54896,6252031,204919,271430,12219083,12145058,20.2,14013719,8642473,648213,628340,567704,586414,566709,556073,538037,533922,488245,945136,1223969,1564337,1106644,710490,754969,767989,14772,585644,58925,14.2,37253956,3382308,239.1,18517830,18736126,14956253,2299072,362801,4861007
"Alameda, CA",1491482,36.6,340621,605785,162522,3878,1457095,290,30252,1727,397633,16,14,2760,1884,4239,964,731,1696,1860,5190,712,4226,523492,755529,11.3,12778,147,11525,32988,14922,61866,215062,13248,16770,494772,504547,14.4,339889,352423,29316,25399,19999,20566,20795,19346,19064,19806,19255,36406,49018,65819,54041,36418,43457,41391,14606,19228,68258,10.8,1510271,66530,2043.6,740573,769698,514559,190451,9799,394560
"Alpine, CA",1041,46.7,256,303,144,6851,1153,0,0,4,1237,1,2,10,0,3,1,0,1,2,3,1,4,0,440,15.7,14,1,14,58,1,32211,129,8,0,400,308,25.6,84,297,21,21,22,10,20,38,25,26,23,27,49,62,36,28,17,19,16245,39,45391,17.3,1175,-33,1.6,606,569,852,0,240,7
"Amador, CA",37876,48.2,6393,10668,7373,4764,38039,13,620,29,4114,6,2,106,46,140,18,10,46,31,80,4,88,0,17472,13.4,127,0,362,611,86,37076,4944,49,83,16275,13521,16,4756,9793,553,674,706,683,577,818,725,820,724,1260,1820,2214,1116,671,678,325,16087,640,54461,11.3,38091,2991,64.1,20749,17342,30325,962,678,419
"Butte, CA",220577,37.2,46168,82260,33001,7513,217917,50,2887,512,61182,28,9,531,189,747,110,78,295,247,423,48,726,25763,104580,13.9,836,7,1860,4016,787,36238,32069,744,1818,68136,70995,17.9,31116,52529,6539,7524,5532,6229,5459,4989,4608,4346,3668,6712,8252,9208,5080,2952,2565,1544,14665,6209,41196,18.5,220000,16829,134.4,108931,111069,165416,3415,4395,9057
"Calaveras, CA",46731,49.2,8943,11047,8921,3665,46548,16,445,45,13647,11,2,198,33,136,22,8,38,43,72,9,94,5780,20087,15.6,93,2,322,410,97,28882,6500,91,256,18148,18136,17.7,4703,13039,918,1010,836,1000,813,726,1090,1006,641,1504,2083,2708,1704,871,701,542,16196,568,51564,11.3,45578,5024,44.7,22822,22756,38074,383,689,571
"Colusa, CA",21321,33.5,6410,7374,2566,3979,21001,7,319,19,5004,15,2,36,24,65,31,3,22,14,20,1,27,394,11928,20.4,42,1,163,293,34,42725,4743,18,13,7256,7177,26.2,11804,5286,431,392,329,543,374,471,399,283,319,717,629,732,412,339,191,129,14866,525,47472,13.4,21419,2615,18.6,11012,10407,8524,195,419,281
