"Randolph, AR",380,0.191,112,0.055999999999999994,61,0.031,662,0.619,356,0.33299999999999996,
"Saline, AR",6119,0.27,1046,0.046,723,0.032,4358,0.674,2008,0.311,
"Scott, AR",283,0.16899999999999998,93,0.055,50,0.03,306,0.636,151,0.314,
"Searcy, AR",332,0.138,148,0.061,65,0.027000000000000003,221,0.564,164,0.418,
"Sebastian, AR",4473,0.24,1002,0.054000000000000006,990,0.053,3694,0.611,2226,0.368,
"Sevier, AR",253,0.163,141,0.091,36,0.023,342,0.623,167,0.304,
"Sharp, AR",579,0.195,235,0.079,90,0.03,608,0.642,294,0.31,
"Stone, AR",430,0.17,194,0.077,62,0.024,547,0.544,421,0.419,
"Union, AR",662,0.196,187,0.055,87,0.026000000000000002,2548,0.503,1669,0.33,
"Van Buren, AR",674,0.21100000000000002,164,0.051,107,0.034,770,0.607,436,0.344,
"Washington, AR",7968,0.275,1541,0.053,1291,0.045,9110,0.513,8507,0.479,
"White, AR",2877,0.223,979,0.076,292,0.023,2024,0.69,818,0.27899999999999997,
"Woodruff, AR",46,0.156,20,0.068,5,0.017,862,0.662,292,0.22399999999999998,
"Yell, AR",496,0.205,136,0.055999999999999994,47,0.019,723,0.5820000000000001,432,0.348,
"Alamosa, CO",167,0.63,90,0.34,6086,0.53,5320,0.46299999999999997,156,0.642,
"Baca, CO",14,0.298,26,0.48100000000000004,24,0.444,11142,0.636,6354,0.363,
"Chaffee, CO",404,0.652,210,0.33899999999999997,5,0.5,4,0.4,199,0.5529999999999999,
"Conejos, CO",50,0.4,64,0.5660000000000001,23,0.204,16,0.5,15,0.469,
"Delta, CO",417,0.696,177,0.295,14624,0.544,12097,0.45,22,0.629,
"Douglas, CO",2342,0.496,623,0.637,344,0.35200000000000004,144,0.613,89,0.379,
"Fremont, CO",268,0.5710000000000001,193,0.41200000000000003,734,0.615,439,0.368,173,0.698,
"Grand, CO",94,0.321,481,0.763,141,0.22399999999999998,10,0.7140000000000001,3,0.214,
"Jackson, CO",15,0.556,12,0.444,8281,0.598,5478,0.396,5,0.455,
"Kit Carson, CO",11,0.40700000000000003,165,0.73,53,0.235,1466,0.6409999999999999,819,0.358,
"Las Animas, CO",106,0.512,80,0.386,20,0.47600000000000003,14,0.33299999999999996,77,0.513,
"Mesa, CO",791,0.414,25,0.595,16,0.381,28,0.56,21,0.42,
"Montrose, CO",258,0.5489999999999999,210,0.447,87,0.5539999999999999,70,0.446,94,0.5429999999999999,
"Ouray, CO",86,0.355,231,0.662,118,0.33799999999999997,18,0.563,11,0.344,
"Prowers, CO",40,0.69,18,0.31,1260,0.517,1140,0.467,18,0.6920000000000001,
"Rio Grande, CO",47,0.435,406,0.63,230,0.35700000000000004,219,0.8109999999999999,47,0.174,
"San Miguel, CO",329,0.7829999999999999,89,0.212,13,0.619,8,0.381,419,0.6,
"Teller, CO",126,0.358,12,0.522,10,0.435,1647,0.607,1043,0.385,
"Alachua, FL",9241,0.382,6979,0.28800000000000003,5213,0.215,1902,0.079,17733,0.49200000000000005,
"Baker, FL",971,0.23800000000000002,769,0.18899999999999997,70,0.017,805,0.474,654,0.385,
"Bay, FL",5832,0.19699999999999998,1412,0.048,5209,0.526,4131,0.41700000000000004,1802,0.495,
"Bradford, FL",94,0.026000000000000002,1056,0.48700000000000004,908,0.418,45483,0.46299999999999997,24330,0.248,
"Brevard, FL",31835,0.597,20083,0.377,52759,0.493,30370,0.284,13773,0.129,
"Broward, FL",48330,0.264,524,0.45299999999999996,356,0.308,206,0.17800000000000002,27,0.023,
"Charlotte, FL",16525,0.5479999999999999,6106,0.203,4214,0.14,2314,0.077,8125,0.621,
"Citrus, FL",4993,0.18,4862,0.17600000000000002,1707,0.062,6863,0.563,4776,0.392,
"Clay, FL",7832,0.205,1643,0.043,5345,0.5710000000000001,3698,0.395,30071,0.461,
"Collier, FL",7061,0.10800000000000001,12712,0.6609999999999999,6127,0.319,4019,0.48,2438,0.29100000000000004,
"Columbia, FL",2299,0.529,1676,0.386,1103,0.634,349,0.201,206,0.11800000000000001,
"Dixie, FL",409,0.402,52588,0.47100000000000003,29844,0.267,19957,0.179,5638,0.051,
"Escambia, FL",20856,0.41700000000000004,12708,0.254,11365,0.22699999999999998,3092,0.062,16765,0.622,
"Flagler, FL",3361,0.2,2385,0.142,1029,0.061,6152,0.6579999999999999,2977,0.319,
"Franklin, FL",246,0.20199999999999999,73,0.06,665,0.47,647,0.457,995,0.418,
"Gadsden, FL",110,0.046,7446,0.764,1944,0.2,1860,0.588,777,0.24600000000000002,
"Gilchrist, FL",578,0.507,428,0.375,632,0.5920000000000001,226,0.212,162,0.152,
"Glades, FL",313,0.40299999999999997,1038,0.496,517,0.247,392,0.187,89,0.043,
"Hamilton, FL",581,0.568,252,0.247,126,0.12300000000000001,29,0.027999999999999997,758,0.547,
"Hardee, FL",519,0.239,434,0.2,55,0.025,529,0.527,393,0.391,
"Hendry, FL",552,0.209,69,0.026000000000000002,1156,0.606,647,0.33899999999999997,15479,0.562,
"Hernando, FL",1433,0.052000000000000005,8882,0.596,5512,0.37,7480,0.5,3147,0.21,
"Highlands, FL",3711,0.614,2054,0.34,53062,0.408,37084,0.285,25968,0.2,
"Hillsborough, FL",38505,0.35100000000000003,1239,0.469,812,0.307,454,0.172,64,0.024,
"Indian River, FL",13678,0.483,6574,0.23199999999999998,4191,0.14800000000000002,2938,0.10400000000000001,6897,0.624,
"Jackson, FL",1355,0.268,908,0.18,145,0.028999999999999998,2798,0.539,1840,0.355,
"Jefferson, FL",247,0.159,68,0.044000000000000004,1671,0.6459999999999999,762,0.295,556,0.52,
"Lafayette, FL",17,0.016,501,0.509,295,0.3,26393,0.49,12187,0.226,
"Lake, FL",15914,0.635,8465,0.33799999999999997,51659,0.47600000000000003,23939,0.22,19155,0.17600000000000002,
