"Randolph, AL",22577,41.2,5473,7125,3858,2423,22504,10,337,0,0,17,3,25,23,75,20,5,26,16,21,5,41,0,9050,12.5,35,0,93,318,16,29880,3856,22,97,8048,8619,14.6,649,6357,778,786,653,528,740,424,423,329,396,786,684,591,275,206,175,60,13567,899,33869,21.1,22913,533,39.5,11104,11809,17280,4607,84,55,0.706,0.187
"Russell, AL",50846,35.8,13499,19061,7137,2186,50029,16,576,934,120745,11,5,95,40,157,26,6,76,40,48,6,74,1145,21311,10.5,187,2,454,762,205,33438,9467,36,267,17116,19237,14.9,1946,14085,2950,1806,1811,1955,1541,1696,1236,1033,1001,1538,1811,1752,813,252,216,89,12924,3608,33537,19.9,52947,3191,82.6,25287,27660,27591,22135,219,236,0.728,0.164
"Shelby, AL",192503,36.9,49962,72027,17778,3710,182996,66,2450,473,78380,15,33,525,172,673,85,105,407,215,595,61,420,13366,98375,7,269,3,899,2708,219,47411,27194,686,1198,62232,64156,12.4,11567,53733,2509,1898,2319,3139,2806,3231,3192,3313,2800,5956,7436,10092,7932,4641,4397,4118,16614,2331,65408,6.9,195085,51792,248.5,95557,99528,156371,20732,553,3726,0.628,0.354
"Sumter, AL",12853,37.7,3068,4909,1914,1442,13267,5,170,5,1200,8,4,16,10,45,13,5,10,8,9,2,22,169,4594,14.2,11,0,20,55,3,29213,2332,26,38,4025,4970,14.8,86,3385,1343,798,454,423,346,319,238,318,207,154,127,277,175,48,69,38,10662,1653,22857,35.1,13763,-1035,15.2,6261,7502,3304,10316,11,33,0.809,0.113
"Talladega, AL",80242,39.3,19285,28320,11439,2325,80190,17,853,116,10205,3,6,98,87,299,36,22,95,49,70,9,156,5000,36232,11.5,338,1,994,2754,205,42310,12777,145,188,28457,29571,11,1671,22191,4417,2447,2733,1881,1931,1626,1590,1776,1255,2565,2837,2769,1293,858,472,265,13621,4101,37260,18.9,82291,1970,111.7,40077,42214,53079,26055,264,339,0.865,0.122
"Tallapoosa, AL",41008,42.4,9219,13033,7459,2476,40778,9,573,9,1857,10,6,97,37,154,18,14,46,31,56,3,90,5053,17535,12.7,275,4,328,1125,72,29584,6481,177,107,14304,15720,13.1,1042,11762,1524,1541,1427,1152,1108,992,755,871,713,1098,1622,1510,701,369,329,271,14540,1507,35702,17.8,41616,141,58.1,20190,21426,28838,11083,121,197,0.88,0.102
"Tuscaloosa, AL",184035,31.2,41786,87233,20332,2470,178754,57,2602,598,86412,27,18,447,150,739,128,62,260,183,366,32,393,8839,88176,8.3,852,15,2463,5769,611,43389,27809,1842,2489,55078,58942,15.7,5949,46304,10527,5131,3980,4803,3447,3507,3713,3320,3158,5149,6256,7261,4303,1914,1509,1707,14320,5069,41842,19.9,194656,29781,147.3,94400,100256,126611,57611,526,2306,0.767,0.218
"Walker, AL",68742,41.2,15107,21757,11479,2513,68880,24,1004,15,2944,24,16,88,52,296,46,15,105,38,102,5,169,5614,27712,10.6,157,2,705,2256,200,25768,11071,153,109,24980,27098,12.6,1307,18741,2793,2514,2311,2200,1879,1773,1486,1487,915,2257,2710,2949,1445,632,322,270,14338,3043,36582,16,67023,-3690,84.7,32668,34355,60587,3928,251,195,0.671,0.275
"Washington, AL",17069,39.7,4484,5560,2587,2114,17212,5,170,1,110,24,7,23,13,42,12,1,10,3,18,0,19,0,6833,13.3,88,1,48,148,12,44271,3487,47,0,6086,6621,16.1,151,4918,993,678,543,514,337,271,170,177,196,771,688,658,415,107,63,53,12978,696,36946,19.3,17581,-516,16.3,8656,8925,11455,4380,1411,20,0.575,0.214
"Wilcox, AL",12384,38.8,3150,3534,1721,1382,12552,3,156,0,0,17,1,18,12,48,11,7,8,9,9,2,21,0,3341,21.7,20,0,18,47,5,38764,2163,36,67,3895,4776,18.7,72,3110,1058,506,481,410,322,171,178,120,116,312,220,157,231,40,29,15,12254,1185,22611,34.6,11670,-1513,13.1,5518,6152,3110,8465,14,4,0.843,0.104
"Winston, AL",23997,43.1,5299,7593,3997,2588,24190,12,359,0,0,8,3,29,55,102,29,4,37,10,20,0,41,336,9161,15,54,1,147,461,26,30902,4396,27,30,8969,9107,12.8,639,7074,1098,1160,1033,881,538,526,434,520,345,805,902,549,203,119,66,197,12867,1388,31062,24.9,24484,-359,39.9,12021,12463,23237,115,163,60,0.667,0.304
"Cochise, AZ",129518,39.7,30250,43280,23078,1907,127613,22,1015,347,51296,8,20,253,54,430,76,36,113,122,210,42,275,4588,64434,8.4,669,6,889,2511,340,41706,20670,415,538,44799,45502,19.9,42543,33653,4497,3131,3013,3045,2715,3286,2815,2502,2404,3644,4900,5448,3095,1704,1303,910,13640,5430,43786,16.2,131346,13591,21.3,66977,64369,76805,5465,1589,2525,0.498,0.293
"Coconino, AZ",129849,31,31788,57396,10539,197,127312,26,1067,315,40707,7,13,418,97,625,118,56,163,200,320,32,396,28677,76599,8.9,505,3,698,4060,128,34623,20613,549,1267,39420,38856,22.1,18166,29656,3882,2392,2081,2703,2583,2518,2467,2315,1894,4040,4397,5270,3795,1626,1348,1004,15017,3523,49777,18,134421,18101,7.2,66666,67755,74231,1629,36714,1846,0.087,0.534
