 ,AGE040209D,AGE050210D,AGE270210D,AGE305210D,AGE770209D,AGN110207D,ANC100209D,BNK010210D,BNK050210D,BPS030210D,BPS130210D,BZN005209D,BZN075209D,BZN110209D,BZN210209D,BZN410209D,BZN450209D,BZN480209D,BZN510209D,BZN550209D,BZN610209D,BZN685209D,BZN710209D,BZN780209D,CLF010210D,CLF040210D,CRM110208D,CRM140208D,CRM240208D,CRM250208D,CRM260208D,EAN012207D,EDU015208D,EDU442209D,EDU490209D,EDU448209D,EDU496209D,HEA775207D,HIS020210D,HSD110210D,INC150209D,INC170209D,INC180209D,INC190209D,INC200209D,INC210209D,INC220209D,INC240209D,INC250209D,INC270209D,INC280209D,INC300209D,INC310209D,INC320209D,INC340209D,INC350209D,INC425209D,INC454209D,IPE010209D,IPE120209D,POP010210D,POP040210D,POP060210D,POP150210D,POP160210D,POP230210D,POP250210D,POP280210D,POP320210D
"Huntington, IN",37777,39,8795,12530,5915,3463,37890,19,566,79,11176,3,5,77,72,129,52,16,67,24,48,6,70,1796,18977,11.7,48,0,120,466,33,32246,6049,53,107,13080,13643,12.5,631,10074,795,847,822,815,985,1213,949,751,660,1511,1889,1653,897,313,224,164,16000,1110,44820,10.5,37124,-951,97,18239,18885,35692,160,140,167
"Jackson, IN",42362,38.7,10416,14454,6020,3005,42131,20,744,111,14725,5,7,109,61,191,46,15,75,42,62,6,109,778,20918,10,112,0,221,1367,86,38484,6741,54,118,15437,15576,13.4,2410,11629,1137,1087,844,1543,1114,1249,1077,966,800,1597,1916,1842,1053,454,270,194,14818,1394,41861,13.3,42376,1041,83.2,21093,21283,38826,282,89,359
"Jasper, IN",32816,38,8594,11117,4715,3344,32197,14,562,80,14616,3,3,106,33,121,66,9,44,23,48,6,54,350,15256,10.3,153,0,25,205,7,33073,5421,47,97,11209,10984,13.5,1823,9165,506,591,676,401,640,615,665,693,657,1260,1674,1999,980,314,243,164,16709,932,53325,9.6,33478,3435,59.8,16666,16812,30988,212,68,133
"Jay, IN",21117,39,5644,6692,3261,3975,21270,12,249,14,2340,3,2,37,36,67,11,4,42,8,20,2,34,510,11205,9.8,14,1,51,275,5,33198,3671,22,91,7398,7584,12.6,577,5647,562,645,647,663,649,699,523,493,463,751,785,963,277,108,101,60,14691,789,38453,16,21253,-553,55.4,10486,10767,20356,60,23,78
"Jefferson, IN",33010,39.7,7334,11143,5006,3405,32628,12,481,37,4419,3,10,56,50,152,18,14,41,33,55,5,85,790,15692,11.1,7,0,4,12,1,34676,4791,52,52,11827,11354,12.8,755,8456,1116,942,837,970,792,835,727,719,708,1048,1167,1450,651,285,243,131,13812,1501,42204,13.6,32428,723,89.9,15634,16794,30463,542,69,211
"Jennings, IN",28043,38.4,7530,9546,3430,3189,28052,8,245,37,3375,1,2,50,40,72,18,3,27,12,17,1,64,0,13377,12.4,62,0,170,233,15,32796,5195,19,53,10108,10225,11.9,571,7733,826,594,672,967,745,629,785,1029,842,1425,1221,1173,418,175,126,32,15173,1344,41588,15.8,28525,971,75.7,14288,14237,27361,216,30,62
"Johnson, IN",141501,36.8,36900,49197,17019,4453,136081,55,1650,651,92818,3,12,353,142,491,75,34,230,127,258,32,284,7791,73323,8.5,313,1,347,3389,136,30589,24773,324,640,46808,49338,10.2,4270,37711,1935,1979,1764,2225,2583,2392,2646,2591,2297,4918,5979,8315,4936,2639,1955,1480,16458,2889,57634,9.7,139654,24445,435.8,68697,70957,128903,1578,315,2744
"Knox, IN",37907,38.5,8192,13814,6143,3457,37970,21,666,17,2597,4,11,69,38,176,46,13,65,35,54,7,119,0,19873,7.3,29,0,275,1046,81,35434,5211,66,115,13011,14031,13.2,590,9725,1929,1187,1314,738,871,915,967,864,601,1544,1479,1460,805,328,258,206,14125,1713,37805,17.8,38440,-816,74.5,19338,19102,36154,1009,73,215
"Kosciusko, IN",76499,37.7,19817,26126,10023,3730,76096,41,1446,193,30057,2,7,214,178,293,49,14,142,73,132,25,139,4551,40665,10.3,53,1,240,1058,56,45342,14359,213,303,27554,27287,14.4,5634,20740,1762,1095,1654,1896,1359,1877,1906,1800,1899,3849,4047,3434,1707,761,766,606,16586,1799,47152,10.8,77358,3301,145.6,38466,38892,69531,572,232,650
"LaGrange, IN",37204,30.4,12806,11855,4435,5093,36857,13,432,74,14207,6,4,103,124,164,23,6,30,21,38,1,45,0,14989,12.9,14,0,68,199,63,35398,6108,24,13,13685,13198,16.4,1317,9106,767,508,615,701,661,890,792,714,672,1481,1811,1498,651,272,280,148,15249,586,45578,13.2,37128,2219,97.8,18728,18400,35290,117,71,118
"Lake, IN",494211,37.4,127273,168659,64495,3961,491203,184,7501,818,139744,3,67,956,370,1593,351,108,651,415,923,159,1240,0,220500,11,2154,87,3856,12150,2305,43193,87994,1315,2371,161812,176508,13.4,82663,127647,16712,11127,11305,9837,10449,9508,9019,9118,8205,16131,19597,24642,13354,7003,5093,3243,15454,24364,47054,16.4,496005,11441,994.1,239383,256622,274162,128263,1628,6142
"LaPorte, IN",111063,39.6,25382,38392,15722,3655,110102,34,1577,228,27474,7,18,267,173,461,74,30,120,91,159,19,236,9126,51018,12,204,5,864,3193,249,36301,18395,145,547,41206,38474,12.5,6093,28228,2568,2211,2735,2391,2864,2522,2417,2577,1885,3891,5190,5188,2677,1266,1038,660,16264,4134,46022,14.5,111467,1361,186.3,57641,53826,90695,12001,306,583
"Lawrence, IN",45842,41.6,10872,14258,7636,2803,45891,16,426,8,1704,3,6,84,65,168,26,15,62,25,62,5,99,821,21320,12,51,1,179,647,51,33100,7362,110,140,16412,17700,12.7,545,12906,1739,1564,1012,1328,1111,1149,1398,1280,849,1765,1844,2080,788,313,263,291,14303,1913,39398,15.4,46134,212,102.7,22803,23331,44562,186,158,224
"Madison, IN",131417,39.2,30389,45617,21038,3736,131015,49,1289,80,17237,2,4,213,103,382,76,34,173,89,201,27,247,0,61538,11.4,216,4,799,2788,284,40932,19709,410,358,46889,49330,12.1,4189,34319,4076,3243,2653,3455,3513,3198,3603,3332,2554,4617,5881,6049,2956,1160,850,592,16036,5451,41774,14.7,131636,-1722,291.3,65766,65870,113577,10963,320,553
"Marion, IN",890879,33.9,226505,358041,96665,5873,878881,259,20279,1404,154999,5,23,1710,929,3110,688,503,1762,1239,2775,308,2371,436753,452662,10,9932,117,14819,30419,6720,56313,140775,5003,6883,293459,316670,13.1,84466,218338,30562,22344,22020,23561,22362,23401,19535,20105,16491,31701,37076,38414,21774,10871,9699,8368,14991,41320,41201,19.7,903393,42939,2279.6,435687,467706,537905,240975,2901,18314
"Marshall, IN",46903,38.4,12649,14910,6536,3556,46605,18,714,88,16469,4,7,117,126,183,32,15,59,35,67,11,78,4228,22156,11.7,15,1,176,446,31,33845,7777,33,152,16671,16662,14.7,3971,12516,975,908,1016,1000,839,1184,887,692,981,2023,2399,2218,1015,553,269,286,15618,1135,46767,13.6,47051,1923,106.1,23282,23769,42098,220,116,215
"Martin, IN",9946,41.8,2481,3147,1531,3231,10067,5,128,0,0,0,3,16,11,35,8,2,13,5,12,0,11,0,5196,7.3,15,0,32,60,24,71862,1723,6,21,3777,3647,12.2,70,2832,315,178,327,269,266,237,335,224,165,510,463,463,103,116,97,46,13325,330,42825,13.5,10334,-35,30.8,5223,5111,10125,10,30,29
"Miami, IN",36001,39.5,8393,12974,5001,3352,36508,11,425,10,1392,1,4,55,47,100,29,6,40,21,26,2,40,1302,15915,12.5,8,0,110,165,12,33116,5708,64,125,13699,12547,11.6,906,9330,1296,1077,722,1048,980,1051,859,834,577,1109,1402,1521,693,321,218,44,14692,1547,39392,17,36903,821,98.7,19687,17216,33307,1673,335,129
"Monroe, IN",130738,27.7,22471,73696,13685,3641,127855,46,1822,261,37149,8,13,295,98,472,55,66,177,178,294,59,316,8591,69430,7.3,328,3,973,2858,219,35505,13873,3219,3253,33618,35041,21.2,4029,27315,7835,3383,3211,2852,3077,2732,2442,2168,1708,3899,4559,4990,2866,1440,1080,1140,16079,3158,36061,21.9,137974,17411,349.7,68840,69134,118837,4491,353,7214
"Montgomery, IN",37862,39.4,9139,12674,5955,3755,37828,19,575,42,4618,2,4,84,59,121,47,16,60,28,59,8,88,1488,18763,10,65,0,319,909,64,38800,6447,55,95,13522,13714,12.2,1739,10342,768,856,745,987,784,986,755,952,779,1639,1989,1846,801,387,331,145,16323,1371,47134,13.6,38124,495,75.6,19205,18919,35374,327,98,213
"Morgan, IN",70876,39.9,17328,22338,8790,3907,70179,27,785,89,14355,2,9,183,65,190,40,15,80,48,92,15,114,3449,36204,9.8,29,0,127,1092,71,32101,11984,128,305,24743,25369,12.3,820,19355,1308,947,1295,1408,1379,1547,1409,1323,1093,2325,3456,3663,2187,1164,709,438,16018,1910,55411,10.2,68894,2205,170.5,34164,34730,66782,176,200,248
"Newton, IN",13736,42.4,3279,4312,2008,3609,13974,10,248,18,3033,3,3,41,27,49,26,2,17,6,16,1,13,0,6621,11,10,1,79,125,16,34733,2446,6,41,5211,5065,16,717,3945,289,235,252,220,403,371,303,338,268,606,832,873,296,65,122,90,17020,348,47764,11,14244,-322,35.5,7194,7050,13296,56,42,38
"Noble, IN",48028,37.1,12850,15884,5546,3696,47729,20,460,66,10540,3,3,83,132,142,22,10,46,40,54,10,69,1237,21349,13.9,21,0,133,360,38,34851,7824,49,154,17091,16456,15.7,4567,12591,1046,922,880,1064,1034,1222,1175,1021,1126,1531,2439,2393,946,355,298,84,15016,1285,43350,13.9,47536,1261,115.7,23785,23751,42104,185,102,176
"Ohio, IN",5909,43.7,1300,1873,916,3571,5871,3,83,15,2322,0,1,12,3,12,4,0,6,3,3,0,8,0,3011,11,10,0,5,15,1,26833,927,10,0,2199,2205,14.3,69,1737,110,149,115,185,118,126,118,180,104,126,278,335,248,100,80,25,16261,209,49541,10.2,6128,505,71.1,3033,3095,5967,22,12,19
"Orange, IN",19559,40.8,4887,6188,3000,2907,19536,6,269,5,763,3,3,47,24,66,23,7,20,16,19,3,39,0,10008,11.2,22,0,28,4,5,30524,3401,38,32,7235,7396,11.7,194,5416,1033,598,457,584,461,593,442,492,316,637,689,705,278,156,65,82,13610,1104,36620,16.9,19840,534,49.8,9861,9979,19144,170,62,62
"Owen, IN",22397,42.4,5011,6582,3283,3211,22371,6,194,2,293,1,2,47,33,37,21,4,16,10,19,3,21,0,11367,10.3,1,0,0,0,0,30232,2976,39,26,8316,8305,14.9,198,5992,507,638,459,788,653,469,456,559,480,879,906,1106,410,139,115,86,15995,775,41422,14.3,21575,-211,56,10818,10757,20983,65,75,66
"Parke, IN",16896,41.3,3713,5816,2496,3097,17094,8,178,29,3571,1,2,20,12,44,11,6,14,14,12,2,21,239,8050,10,16,0,57,151,7,27220,2443,0,9,6107,7062,13.2,215,4389,568,483,490,417,450,497,405,285,259,636,631,633,243,210,87,44,15092,576,41011,15.7,17339,98,39,8123,9216,16545,397,64,34
"Perry, IN",18812,40.4,4143,6642,2737,2666,18872,7,326,38,4978,2,2,41,28,65,16,6,27,14,26,4,37,0,9174,10.1,21,0,58,160,6,33282,3025,4,100,7849,6510,11.7,192,5020,495,631,564,489,544,371,462,292,424,910,966,818,389,97,46,50,13722,443,44652,12,19338,439,50.7,10249,9089,18428,471,36,69
"Pike, IN",12259,42.8,2880,3906,2031,2787,12496,5,135,34,3661,3,3,12,5,34,11,3,11,3,7,0,15,0,5734,8.9,5,0,0,9,8,40870,2045,12,39,4833,4748,11.3,120,3645,578,396,424,238,406,362,395,277,333,393,689,624,316,39,10,59,14791,458,40452,11.8,12845,8,38.4,6419,6426,12544,39,27,25
"Porter, IN",163598,38.4,39921,57250,19922,4161,160073,58,2376,251,65601,1,15,430,145,458,146,39,228,158,328,50,358,9174,81418,8.9,341,4,661,3023,162,41511,27551,832,1061,55082,56269,13.2,13933,43901,3172,2478,2960,3076,2939,2954,2504,3020,2348,4721,7956,9439,6065,3254,2537,1881,16849,3981,60718,7.6,164343,17545,393,80764,83579,141243,4894,494,1994
"Posey, IN",26004,41.6,6138,7953,3521,3047,26244,14,357,60,9713,1,4,91,25,70,32,9,22,9,41,4,37,587,13114,7.8,1,0,0,1,0,46607,3971,8,95,9459,9372,11.4,248,7442,692,507,380,514,482,486,515,464,375,1075,1371,1541,949,615,311,169,16425,615,55517,8.4,25910,-1151,63.3,12893,13017,25046,233,48,70
"Pulaski, IN",13614,41.7,3198,4076,2235,3103,13739,8,344,13,1712,1,0,33,21,63,21,5,20,5,22,1,26,304,6754,9.3,22,1,49,169,18,37502,2171,58,85,4889,4837,14.1,325,3707,340,328,299,327,350,219,341,345,263,598,580,643,321,102,105,42,14633,479,44483,13.1,13402,-353,30.9,6767,6635,12823,88,40,29
"Putnam, IN",36837,37.9,7996,14553,4883,3597,36993,15,456,63,7624,5,8,83,31,101,29,13,50,32,49,8,71,638,16946,11.1,23,0,92,117,36,33385,6613,74,93,14013,11947,12.7,587,9256,623,674,709,877,608,758,798,744,569,1215,1379,2069,857,315,315,173,15208,800,47394,13.1,37963,1944,79,20051,17912,35128,1505,98,279
"Randolph, IN",25696,40.8,6383,8107,4337,3151,25914,15,566,12,1255,2,4,46,48,76,32,7,30,9,32,2,38,3028,12647,11.7,25,0,103,300,10,33185,4813,5,87,9326,9780,13.5,790,7300,701,721,799,797,732,761,697,688,641,1021,1126,1159,502,160,129,64,14613,920,37021,17.5,26171,-1230,57.9,12910,13261,24895,117,89,61
"Ripley, IN",27421,39.2,7590,9156,4130,3479,27378,16,573,68,10440,4,5,88,44,97,34,8,38,24,38,4,69,2578,13784,11.2,7,0,54,196,10,40581,3508,46,48,9677,9760,12.8,445,7910,693,769,662,540,563,551,680,540,746,914,1158,1486,780,199,269,144,14103,625,44179,11.8,28818,2295,64.6,14215,14603,27879,69,51,146
"Rush, IN",17175,40.6,4307,5425,2703,3679,17425,7,292,10,1670,4,2,45,32,52,24,6,24,15,30,0,32,461,9102,10.3,12,1,43,191,4,33154,2696,50,69,6079,6521,13.2,190,4803,513,326,362,350,562,445,381,440,409,660,1069,731,335,111,86,87,15226,604,43716,13.6,17392,-869,42.6,8577,8815,16839,132,32,57
"St. Joseph, IN",267613,36.2,65851,96425,35286,3650,266400,76,4493,311,48096,1,14,496,390,923,185,105,426,217,542,70,623,16329,127457,11.5,1151,16,3424,8355,838,47043,40648,2108,2227,84265,91517,13.6,19395,66365,7785,5571,6603,6440,6483,6281,5763,6189,5203,8774,10484,11753,6186,3041,2492,2189,15305,9277,43544,16.4,266931,1372,583,129412,137519,201701,33958,1030,5036
"Scott, IN",23624,39.3,5812,8288,3074,3088,23646,9,251,44,4811,0,1,33,25,89,14,4,34,18,29,2,65,546,10814,12.5,40,0,78,279,6,31278,4268,46,20,8731,8781,11,354,6648,820,590,698,722,592,807,792,544,465,995,1003,1061,252,121,93,69,14148,1238,38812,16.6,24181,1221,127,11951,12230,23471,57,46,108
"Shelby, IN",44503,39.9,10845,14446,5982,3794,43964,16,582,54,6785,3,7,119,81,126,43,11,54,39,65,4,87,0,23099,10,43,0,111,246,23,36295,7772,49,214,15918,15829,11.6,1647,12221,957,776,708,1109,1063,846,935,1074,795,1629,1982,2322,1269,664,537,401,15814,1193,50611,12.4,44436,991,108.1,22020,22416,41622,455,95,244
"Spencer, IN",20039,41.9,5063,6295,2997,3050,20167,14,299,38,4549,7,7,51,26,70,35,4,29,10,23,2,30,0,10321,9,1,1,2,5,0,34203,3545,71,62,7417,7348,14.3,517,5907,496,359,428,514,369,505,574,424,370,972,1028,1120,624,277,183,120,15397,561,49006,10,20952,561,52.8,10542,10410,20101,96,41,72
"Starke, IN",23530,40.4,5696,7363,3709,3035,23398,8,239,31,4579,1,2,26,21,69,12,8,14,15,19,2,24,223,10514,12.9,47,0,179,448,50,30269,4093,36,90,8448,8876,12.7,766,6484,789,630,615,746,698,649,554,502,490,694,1068,981,396,102,100,41,15132,1180,40369,13.8,23363,-193,75.6,11536,11827,22212,66,76,41
"Steuben, IN",33579,40.2,7835,11417,4581,3918,33544,15,466,71,15792,2,4,94,89,191,40,8,48,40,53,5,80,1477,15919,12.4,24,0,168,853,57,32385,4311,61,94,12059,11819,13.4,982,9153,753,806,784,994,942,994,747,782,820,1533,1815,1474,956,405,254,217,15611,942,45879,13.6,34185,971,110.7,17250,16935,32513,179,93,167
"Sullivan, IN",21153,39.8,4590,7698,2946,2997,21316,10,252,1,130,5,8,39,18,56,29,10,21,9,25,4,31,0,8760,10.5,4,2,4,49,3,31152,3377,14,129,8746,7101,13.9,294,5422,616,574,646,702,591,482,439,344,597,803,1054,699,320,232,92,93,14529,978,39091,17.1,21475,-276,48,11668,9807,19930,961,58,40
"Switzerland, IN",9675,39.1,2722,3414,1325,3521,9627,3,81,44,2564,0,3,14,7,14,3,2,10,4,9,0,15,0,5623,7.9,14,0,4,49,5,28929,1499,7,52,3637,3510,14.3,147,2847,368,153,212,239,177,481,274,189,171,415,397,619,159,100,104,49,13700,321,41837,17.2,10613,1548,48.1,5412,5201,10318,32,18,18
"Tippecanoe, IN",167964,27.7,35717,85928,16294,3944,162527,58,1996,487,82645,9,7,303,120,534,106,48,223,172,303,37,317,6474,82345,9.1,433,4,1064,3651,288,42245,21237,3631,2436,43876,45554,19.8,12947,37003,7573,4302,4212,4043,3013,3103,3154,3222,2530,4866,5745,7034,3648,1923,1842,1176,15993,5108,41917,20.9,172780,23825,345.7,88040,84740,138855,6913,453,10730
"Tipton, IN",15892,42.6,3703,4789,2576,4120,16055,4,200,5,613,1,1,45,20,54,14,5,17,12,21,1,25,39,7169,11.3,20,0,95,225,7,32469,2847,4,48,5833,6180,11.9,346,4517,300,291,362,606,447,353,320,396,299,731,805,1190,317,220,123,93,15999,338,52423,9.1,15936,-641,61.2,7846,8090,15355,29,23,65
"Union, IN",7040,40.3,1885,2371,1102,3756,7083,4,98,0,0,0,1,11,6,24,12,0,8,4,6,1,12,337,3522,10.3,3,0,1,41,0,27896,1617,53,20,2450,2576,17.5,82,2117,188,185,147,323,123,141,234,260,167,309,441,377,76,34,11,8,15679,282,43630,13.8,7516,167,46.6,3714,3802,7280,33,23,19
"Vanderburgh, IN",175434,37.5,39896,65687,25834,3431,174544,60,3736,277,30873,2,19,468,254,816,141,83,349,189,440,65,558,19308,91011,8.7,528,8,1277,5184,291,45688,22792,390,771,58378,65524,11.2,3873,45118,7052,5105,4627,4738,4383,4536,4102,3509,3201,6375,7600,8123,4225,2176,1589,1502,15489,7144,42404,15.2,179703,7781,769.7,86671,93032,153080,16347,399,2003
"Vermillion, IN",16172,41.9,3744,4967,2625,3179,16301,8,200,9,1789,2,7,25,13,57,17,3,14,5,18,0,22,246,7896,12.7,23,0,46,100,20,42684,2811,44,74,5930,6236,12.1,130,4533,584,512,398,399,370,406,470,303,321,612,858,701,485,110,45,102,15168,580,40164,15.4,16212,-576,63.1,8021,8191,15862,24,37,31
"Vigo, IN",105967,36.1,23049,42795,14276,3073,105434,33,1770,164,20504,4,13,193,122,455,70,32,160,94,200,28,350,6544,50719,11.2,209,1,1172,3647,443,39029,15971,723,770,34763,35411,12.9,2469,25607,4646,3959,2915,2732,2841,2557,2408,2254,1799,3026,3976,4194,2251,1044,785,545,14639,4921,37876,20.9,107848,2000,267.4,54545,53303,93550,7437,364,1781
"Wabash, IN",32558,41.2,7459,10482,5879,3578,33004,14,365,23,3799,4,6,77,61,138,20,10,46,23,53,4,74,0,16037,11.1,38,0,144,388,12,31768,5440,64,77,11524,12638,10.8,697,8733,937,1106,668,853,912,966,814,648,714,1375,1779,1490,499,445,164,56,15533,1126,42076,13.9,32888,-2072,79.7,15974,16914,31369,163,217,138
"Warren, IN",8491,42.4,1996,2566,1246,3532,8573,4,85,11,693,0,1,16,13,16,9,0,9,3,7,0,10,0,4568,9.4,3,0,2,19,0,33636,1276,11,65,3187,3197,14.3,70,2416,232,202,298,169,146,154,220,221,167,403,425,410,249,84,41,59,16288,330,50841,8.8,8508,89,23.3,4269,4239,8321,11,13,36
"Warrick, IN",58521,39.7,15431,18752,7502,3053,57065,17,579,197,37806,3,9,185,42,138,49,12,71,35,92,12,118,4838,31082,7.8,144,0,144,745,33,37220,9647,128,207,20139,20782,10.3,946,17009,832,768,964,933,1419,1117,923,1203,1079,1766,2926,3650,1958,1109,696,880,16109,1311,58436,8,59689,7306,155.1,29402,30287,56095,803,124,960
"Washington, IN",27729,39.2,7126,9288,3738,2824,27780,10,324,31,4410,3,4,70,38,82,30,5,30,12,29,0,43,0,13505,10.5,6,1,7,12,0,28571,4737,34,103,10351,10049,13.1,304,7799,1056,852,766,677,782,751,741,757,485,956,1219,1035,452,89,138,72,14137,1234,40419,15.5,28262,1039,55,14113,14149,27539,64,62,86
"Wayne, IN",67552,40.2,15883,22822,11488,3273,68151,40,1150,149,11351,3,6,118,117,278,44,22,114,59,90,17,188,3000,31158,12.5,160,0,495,1191,201,36181,10916,163,258,23398,25577,10.7,1804,18126,2350,1919,1873,1740,1928,1984,1802,1361,1496,2672,2942,2901,1316,675,374,366,15050,3199,38909,19.9,68917,-2180,171.5,33463,35454,61322,3418,171,527
"Wells, IN",27566,40.2,6899,8540,4169,3464,27720,11,415,71,11012,5,3,67,54,87,19,6,45,26,38,6,51,376,13810,9.6,10,0,106,329,22,32587,4741,32,42,9916,10206,11.7,564,7684,472,579,516,648,752,686,790,596,751,1013,1279,1541,677,260,225,78,15750,706,48000,9.3,27636,36,75.1,13602,14034,26604,96,76,107
"White, IN",23452,41.9,5960,7283,3966,3835,23840,15,469,72,8195,3,6,77,37,105,51,9,44,22,32,4,39,0,12205,10.7,8,1,50,181,7,34651,5172,57,112,8719,8910,15.3,1746,6849,476,686,497,727,695,872,640,519,558,1041,1209,1019,607,294,122,70,15055,709,46495,10.8,24643,-624,48.8,12120,12523,22470,68,71,89
"Whitley, IN",32861,40.1,8183,10576,4478,3820,32504,13,424,93,13669,2,1,70,71,114,16,10,46,19,42,6,49,946,17149,10.5,9,0,28,140,13,36493,4864,100,111,11779,11815,12.2,515,9228,545,621,621,856,908,800,760,691,517,1303,1794,1806,970,312,320,186,15868,735,48451,8,33292,2585,99.2,16553,16739,32147,99,92,105
IOWA,3007856,38.1,727993,1052998,444294,3388,2978880,1621,66491,7607,1222087,283,260,8601,3666,12486,3666,1546,6119,2771,6217,755,7900,366453,1670621,6.1,8507,77,16295,51346,4309,38931,487559,14291,19399,1018025,1054950,10.8,151544,790034,78921,73103,69744,72809,71117,69469,68173,67341,60549,112802,140982,154623,81227,37978,30281,26851,15185,99215,48065,11.8,3046355,120031,54.5,1508319,1538036,2701123,89148,11084,53094
"Adair, IA",7350,45.3,1725,2079,1639,2710,7555,9,221,4,635,1,1,22,2,30,10,2,10,4,13,0,18,376,4216,5.3,6,0,9,35,2,27350,949,0,19,2850,2841,11.9,101,2148,321,282,207,155,127,266,201,149,216,299,434,389,149,41,58,53,13180,245,47553,10.7,7682,-561,13.5,3807,3875,7507,11,4,22
"Adams, IA",3930,46.7,849,1067,852,2553,4072,4,80,2,205,0,1,9,8,24,6,2,8,3,6,0,17,134,2080,5.2,3,0,14,39,4,27444,540,0,25,1589,1555,12.4,37,1126,185,127,154,86,132,132,126,85,75,202,194,143,109,64,33,67,14074,127,38191,12.4,4029,-453,9.5,1994,2035,3922,8,19,24
"Allamakee, IA",14407,44,3310,4023,2671,2785,14421,9,481,34,3292,3,3,42,29,56,12,10,25,10,18,3,41,204,7740,8.3,2,0,2,22,1,27884,2283,17,21,5386,5080,15.5,757,3885,277,459,413,235,398,474,488,327,462,614,663,652,189,214,85,57,14691,449,44119,14.1,14330,-345,22.4,7310,7020,13325,113,36,34
"Appanoose, IA",12698,44.2,2894,3671,2532,2159,12975,5,180,8,673,2,6,21,17,64,31,8,21,10,24,2,39,575,6101,7.5,38,2,89,188,12,26044,2190,39,31,4587,5066,9.2,181,3529,633,611,423,483,508,420,402,303,267,440,449,382,146,99,85,115,12875,807,33663,19.3,12887,-834,25.9,6271,6616,12470,63,32,36
"Audubon, IA",6032,47,1339,1544,1335,3469,6140,5,150,30,2492,2,1,27,9,21,21,0,12,2,9,0,15,0,3248,6,6,0,8,44,5,32084,889,0,17,2240,2418,15.9,37,1743,171,199,178,220,148,192,226,101,149,202,332,292,114,55,98,54,14425,195,45280,10,6119,-711,13.8,2957,3162,6007,10,8,25
"Benton, IA",26734,40.9,6646,7970,3962,3609,26628,18,502,16,3085,1,2,93,30,88,34,12,46,12,29,2,50,784,14704,6.4,4,0,50,141,3,27335,3975,83,84,9391,9188,10,275,7373,415,531,555,554,639,656,521,438,466,735,1388,1614,925,397,264,98,15898,798,56592,7.9,26076,768,36.4,13027,13049,25387,102,45,66
"Black Hawk, IA",129276,34.4,28496,51895,18483,3899,127369,45,1662,318,54658,5,5,283,164,543,110,49,243,133,241,33,345,9679,74564,6,691,2,1032,2741,218,39804,17650,901,964,39728,43096,11.9,4907,32110,4483,3728,3278,3373,3480,3040,2580,2966,2249,4603,5881,5563,2982,1487,920,753,15604,5838,42753,17.3,131090,3078,231.7,63708,67382,109968,11640,297,1707
"Boone, IA",26072,40.8,6279,8200,4084,3757,26222,11,366,32,4261,1,4,72,32,70,31,9,41,15,33,4,58,1636,15456,5.6,95,0,107,232,13,32020,3815,51,132,9069,9776,9.8,505,7134,764,492,551,562,712,597,611,743,700,890,1252,1557,688,405,139,251,15264,1112,51678,8.2,26306,82,46,13202,13104,25194,206,81,88
"Bremer, IA",23460,39.3,5513,8275,3973,3958,23505,15,564,59,12923,3,2,87,38,80,15,12,52,18,39,3,61,679,13765,5,74,1,40,153,9,33254,4766,83,113,7874,8168,10.5,239,6509,412,611,452,432,466,438,528,534,548,997,1375,1433,620,415,172,176,15339,457,54482,7.5,24276,951,55.7,11869,12407,23459,191,16,174
"Buchanan, IA",20910,39,5676,6332,3154,3770,20911,13,351,25,3757,2,1,82,42,81,30,11,38,11,24,3,42,932,10987,6.4,16,2,82,192,14,31807,2853,73,111,7351,7340,11.2,243,5661,444,489,430,395,659,385,536,395,435,802,1215,1133,580,223,129,141,15993,587,51052,10.9,20958,-135,36.7,10401,10557,20344,67,32,90
"Buena Vista, IA",19601,37.1,5056,6811,2849,3829,19573,19,640,12,1318,3,5,51,29,101,29,10,66,23,38,5,49,575,10845,5,47,0,120,316,20,33473,3910,61,116,6464,6530,16.7,4608,5027,526,497,399,419,451,783,454,559,392,857,809,749,280,151,98,155,14751,548,43864,15.2,20260,-151,35.2,10142,10118,13756,540,51,1141
"Butler, IA",14341,43.8,3503,4161,2776,3511,14581,11,351,29,4989,4,2,35,20,66,25,6,24,5,20,1,24,330,8502,5.9,4,0,10,15,1,28982,1869,42,39,5431,5476,13.1,133,4323,342,436,354,444,420,379,274,390,293,661,788,773,350,93,123,97,14916,431,50400,10.3,14867,-438,25.6,7337,7530,14552,26,21,35
"Calhoun, IA",9671,47.8,2052,2454,2169,3811,9964,10,245,8,1606,0,3,27,13,48,24,1,27,4,14,0,30,207,5166,5.3,6,0,37,80,6,31534,1955,8,5,3812,3749,13.2,90,2780,208,504,324,295,268,290,252,294,172,352,405,530,164,112,38,85,13903,322,44833,11.2,9670,-1445,17,4697,4973,9470,22,19,21
"Carroll, IA",20674,42.3,5176,5947,3983,3681,20764,22,678,29,5279,2,4,124,39,158,51,18,78,22,57,7,104,900,12259,4.2,11,0,25,157,9,32012,3146,31,29,7323,7856,10.4,333,5593,717,604,422,447,581,591,448,411,350,759,1056,1085,592,182,207,162,14248,556,46086,9.8,20816,-605,36.6,10141,10675,20119,83,25,92
