 ,AGE040209D,AGE050210D,AGE270210D,AGE305210D,AGE770209D,AGN110207D,ANC100209D,BNK010210D,BNK050210D,BPS030210D,BPS130210D,BZN005209D,BZN075209D,BZN110209D,BZN210209D,BZN410209D,BZN450209D,BZN480209D,BZN510209D,BZN550209D,BZN610209D,BZN685209D,BZN710209D,BZN780209D,CLF010210D,CLF040210D,CRM110208D,CRM140208D,CRM240208D,CRM250208D,CRM260208D,EAN012207D,EDU015208D,EDU442209D,EDU490209D,EDU448209D,EDU496209D,HEA775207D,HIS020210D,HSD110210D,INC150209D,INC170209D,INC180209D,INC190209D,INC200209D,INC210209D,INC220209D,INC240209D,INC250209D,INC270209D,INC280209D,INC300209D,INC310209D,INC320209D,INC340209D,INC350209D,INC425209D,INC454209D,IPE010209D,IPE120209D,POP010210D,POP040210D,POP060210D,POP150210D,POP160210D,POP230210D,POP250210D,POP280210D,POP320210D
"Union, NC",198645,36.2,60880,70252,17682,5206,181852,42,1542,520,87196,10,7,752,233,497,120,45,228,154,348,31,265,6852,94115,9.9,566,8,1557,3033,298,37458,39431,544,738,60714,61650,18.4,20967,54019,3248,2314,2412,2643,2922,3362,2957,3032,3181,4886,7301,8664,5423,3228,3131,3301,15395,4383,63190,10.9,201292,77615,318.7,99366,101926,150098,23558,815,3271
"Vance, NC",43056,38.6,11541,15111,6100,3304,42987,10,430,83,10269,5,3,80,44,186,35,11,50,44,45,13,105,2487,19283,13.1,287,8,1276,1797,161,33106,8490,7,134,13612,16034,15.8,3051,12028,2378,1415,1338,1018,1100,1069,1077,923,655,1178,1395,1219,704,330,171,137,13253,2956,33341,32.3,45422,2468,179.2,21319,24103,19101,22645,147,202
"Wake, NC",897214,34.4,234613,370287,74382,7945,828759,257,18502,4414,768162,35,52,2407,602,3136,400,535,1600,1329,4100,363,2468,182832,456623,8.4,2875,43,5049,15847,1424,48278,144709,7374,8036,270439,279491,16.3,87922,227117,14542,11304,11661,13580,13732,14912,13810,14671,13831,23746,31943,42744,31444,20601,20206,17553,16077,14672,63770,10.2,900993,273147,1078.8,438792,462201,560536,186510,4503,48553
"Warren, NC",19425,44.9,4258,6248,3728,2458,19545,4,93,32,5942,13,1,31,8,47,8,2,11,7,14,1,25,0,7681,12.8,39,1,240,270,43,25278,2752,32,60,6996,7201,20.8,692,5500,1420,724,595,521,757,347,465,292,181,585,651,434,234,140,101,147,13910,1113,31834,26.1,20972,1000,48.9,10597,10375,7971,10970,1050,51
"Washington, NC",12851,44,3043,3758,2225,2237,12979,6,136,10,1637,14,1,17,11,48,15,2,17,4,10,0,40,0,7043,11,66,0,108,147,6,25377,2093,32,80,4195,4937,14.5,466,3694,956,413,342,348,170,445,173,177,317,339,405,389,112,195,119,36,13435,1119,33190,23.3,13228,-495,38,6221,7007,5998,6587,24,38
"Watauga, NC",45479,28.4,7074,26175,5777,7099,44636,21,1116,271,54778,4,1,261,54,315,21,23,66,115,149,18,133,15475,23548,8,53,2,275,825,39,31012,4663,421,400,12383,12945,26.6,1713,10473,3039,1428,1570,1420,1080,1004,936,810,647,1292,1398,1679,828,431,519,416,15549,844,38031,21.2,51079,8384,163.4,25636,25443,47268,877,129,475
"Wayne, NC",113811,36.6,30484,43892,14667,4160,113290,36,1316,279,35728,14,6,206,79,471,63,30,154,67,149,22,283,3998,52837,8.9,541,11,1659,3255,429,36857,19779,335,575,37956,40270,17.7,12162,32651,4955,3007,2638,2815,3016,3122,2665,2776,2146,3943,4888,4224,2480,992,650,534,13817,5531,40291,20,122623,9294,221.7,59956,62667,68216,38499,481,1431
"Wilkes, NC",66555,42.4,15536,21575,11290,5590,66563,21,776,89,15063,13,7,148,84,225,28,13,89,53,84,9,155,1849,29475,13.5,211,2,682,1151,110,33116,11805,122,287,24438,25344,17,3772,19683,3127,2488,2197,2207,1979,1552,1344,1248,1114,2377,2660,2322,1040,444,222,293,12998,3183,36516,18.5,69340,3708,91.9,34264,35076,61587,2830,133,296
"Wilson, NC",78353,38.7,20052,27367,11054,3218,76765,23,1003,181,30123,8,1,210,93,345,48,16,109,69,104,20,177,3080,39753,12.7,337,5,746,1720,181,41102,13476,151,366,25503,27211,17.2,7724,21573,3615,2246,1887,2329,1859,2060,1675,1692,1420,2491,2437,3202,1571,853,683,379,14254,3911,39511,20.3,81234,7420,220.6,38784,42450,40157,31686,238,668
"Yadkin, NC",37713,41.4,8938,12315,5973,5193,37520,11,479,62,10568,2,2,89,43,115,12,9,35,11,44,2,49,1048,18296,10.3,125,0,319,521,70,28388,6202,45,193,13503,14231,19.7,3749,10893,1311,1295,999,1079,937,1346,776,661,634,1439,1606,1312,704,464,190,69,14018,1261,40939,13.4,38406,2058,114.7,18877,19529,33022,1192,79,78
"Yancey, NC",18548,45.5,3562,5221,3684,4868,18336,5,242,44,2715,7,1,59,11,62,18,11,18,16,20,2,33,0,7563,11.9,17,0,89,125,11,24258,2472,16,62,6920,7064,22.1,814,5216,861,658,598,469,493,636,634,262,299,767,786,519,232,109,54,35,14859,1095,34148,17.8,17818,44,57,8744,9074,16652,145,79,34
NORTH DAKOTA,646844,37,149871,246767,94870,771,639725,444,17580,3833,481144,125,115,2485,737,3232,1119,354,1697,764,1508,147,1790,66998,370224,3.9,1180,5,2221,9449,872,38430,94728,3023,4140,224591,222106,13.3,13467,170916,22701,17701,16385,16953,17017,16646,14147,14584,13310,24413,30622,32074,17336,7693,5898,5555,13980,18098,47898,11.7,672591,30391,9.7,339864,332727,598007,7960,36591,6909
"Adams, ND",2236,49.5,446,559,629,582,2291,3,68,2,380,0,1,9,1,17,8,3,10,1,4,0,13,0,1198,2.9,4,0,4,5,0,25609,281,4,1,865,1014,14.5,20,658,121,69,127,77,57,44,31,57,60,86,116,100,24,9,17,6,13320,44,39799,11.5,2343,-250,2.4,1131,1212,2266,8,16,9
"Barnes, ND",10753,44.3,2280,3335,2146,940,10840,7,281,6,1260,0,2,50,14,55,25,6,28,8,19,3,38,476,6124,4.4,8,0,32,73,8,33015,1395,32,14,4029,4024,12.9,123,2927,372,389,303,371,221,441,292,287,206,450,605,456,290,94,119,96,13018,348,44154,11.1,11066,-709,7.4,5490,5576,10599,86,72,58
"Benson, ND",6910,31.6,2239,2005,849,726,6889,5,52,1,180,1,0,8,5,13,9,3,12,2,6,1,5,0,2910,5.4,20,0,19,70,12,35328,831,5,11,2249,2290,14.6,77,1628,454,231,197,132,145,180,104,83,92,201,210,210,63,31,19,10,11945,483,32815,30.1,6660,-304,4.8,3379,3281,2861,1,3663,3
"Billings, ND",827,48.6,138,198,129,471,912,1,7,4,240,0,0,3,0,12,2,0,1,0,2,0,1,0,563,2.5,0,0,0,0,0,27800,42,0,0,356,333,20.5,4,223,29,6,4,29,19,31,16,23,23,42,36,45,36,6,16,19,12603,2,45844,10.4,783,-105,0.7,417,366,771,2,3,4
"Bottineau, ND",6352,48,1222,1721,1379,734,6427,9,211,2,225,4,1,32,8,45,13,2,27,8,17,1,7,288,3687,3.7,0,0,9,12,1,41078,872,0,27,2430,2361,20,82,1823,318,230,187,131,182,216,183,123,138,161,226,420,144,61,63,79,14796,309,49328,11.1,6429,-720,3.9,3321,3108,6062,25,136,16
"Bowman, ND",3028,46.9,676,826,683,511,2944,6,182,4,750,1,1,17,7,25,10,3,14,3,6,1,12,0,1744,2.7,0,0,0,0,1,36457,572,0,2,1148,1178,17.5,78,873,96,96,73,112,43,52,60,95,75,110,123,153,105,30,61,20,12881,36,47247,7.7,3151,-91,2.7,1580,1571,3039,3,18,2
"Burke, ND",1839,48.1,409,479,397,626,2027,3,83,0,0,0,1,4,0,12,10,1,10,2,3,0,2,0,1137,2.8,0,0,10,13,1,37073,250,0,6,879,764,20,37,567,50,76,74,56,95,44,36,60,23,102,129,113,60,32,40,23,14417,34,47643,9.6,1968,-274,1.8,1035,933,1891,4,15,14
"Burleigh, ND",79822,37.3,18343,29971,10652,727,77049,41,2044,536,84638,1,12,338,68,373,97,50,209,115,264,25,257,9885,47181,3.6,176,2,264,1447,108,37009,11133,369,576,27068,27582,10.1,986,21213,1702,1453,1688,2142,1714,2045,1549,1622,1292,2886,3763,4502,2538,1302,762,757,14218,1952,54257,8.4,81308,11892,49.8,39992,41316,75054,483,3393,392
"Cass, ND",143339,31.5,32660,68136,14012,1467,137803,71,4044,1107,118881,10,7,624,199,646,252,86,410,256,422,35,438,20805,86334,3.9,323,0,640,2877,278,41626,19588,1002,1304,46179,44323,12.6,3015,35215,5415,3797,3682,3331,4235,3578,3182,2861,2834,4665,6669,6986,4394,2100,1486,1852,14720,3477,46985,11.6,149778,26640,84.9,75551,74227,135530,3428,1827,3532
"Cavalier, ND",3699,50.3,786,893,941,950,3905,5,232,2,300,3,3,15,4,30,5,4,14,1,7,0,10,121,1978,3.3,2,0,3,31,4,41754,487,0,10,1548,1485,18.3,24,1142,118,115,140,75,66,142,101,99,62,203,237,178,54,55,81,34,13159,75,48535,10.5,3993,-838,2.7,2043,1950,3890,4,37,9
"Dickey, ND",5217,43,1215,1540,1133,1041,5341,4,114,0,0,2,2,19,14,46,9,5,12,1,9,1,23,104,2721,3.5,1,0,4,20,2,36633,849,19,17,1888,1894,15.9,100,1379,271,185,169,188,92,120,140,74,140,166,223,244,79,45,23,29,12069,199,41588,12.6,5289,-468,4.7,2626,2663,5044,37,31,22
"Divide, ND",1961,51.4,354,472,485,625,1863,4,106,14,1551,1,1,3,1,10,3,2,6,3,6,1,6,0,889,3.3,0,0,0,0,0,30126,229,0,0,821,764,21,30,584,52,50,72,81,45,62,26,36,66,41,108,114,31,7,73,34,15670,22,48892,11.6,2071,-212,1.6,1061,1010,2006,5,11,7
"Dunn, ND",3365,44.4,777,1015,595,511,3318,3,75,5,900,0,2,18,3,14,4,2,7,1,2,0,4,0,2089,3.4,0,0,0,0,0,23383,441,5,2,1289,1223,16.5,38,977,96,71,74,81,71,107,71,78,56,92,161,149,92,27,52,28,11674,88,44681,11.2,3536,-64,1.8,1865,1671,2984,8,449,10
"Eddy, ND",2288,49.2,498,549,580,590,2417,1,29,5,680,1,1,8,2,16,3,1,4,2,4,1,9,0,1187,5.1,1,0,4,5,0,30476,357,0,6,919,852,15.8,52,653,109,109,26,58,91,85,67,54,40,161,75,79,55,17,12,13,13455,56,37475,12.3,2385,-372,3.8,1166,1219,2242,4,58,6
"Emmons, ND",3398,50.5,759,709,958,679,3542,4,127,6,854,3,3,15,2,20,8,1,11,0,10,2,9,0,1653,7.7,1,0,15,14,1,33998,629,18,13,1387,1382,13.9,34,1003,159,143,143,132,117,159,93,57,83,111,184,122,65,25,15,23,12657,62,37191,14.7,3550,-781,2.4,1820,1730,3468,2,14,6
"Foster, ND",3259,46.7,728,869,730,761,3424,4,131,1,275,1,2,16,4,28,6,3,11,2,6,0,16,0,1720,3.6,0,0,7,3,3,38166,576,17,32,1310,1348,17.3,29,930,144,101,145,124,106,65,103,107,100,146,135,174,73,25,31,38,12507,77,45170,9.1,3343,-416,5.3,1675,1668,3272,3,20,3
"Golden Valley, ND",1621,45.9,404,411,342,467,1533,3,69,2,295,0,1,8,1,14,5,2,7,0,6,0,5,0,869,3.1,0,0,0,0,0,22144,307,0,12,520,595,22.7,35,429,71,139,55,40,82,39,36,43,35,38,74,45,20,19,3,9,12791,45,35081,13.3,1680,-244,1.7,831,849,1613,10,10,1
"Grand Forks, ND",66414,29.7,13421,31171,7097,1057,66573,33,1449,144,23808,7,4,195,54,319,102,26,131,63,116,17,154,7676,37298,3.9,154,0,304,1591,124,38107,8601,820,806,20179,19528,14.1,1951,15215,2985,1869,1777,1810,1451,1533,1233,1508,1273,2578,2744,2682,1547,725,610,492,14811,1645,42679,14.4,66861,752,46.5,34355,32506,59271,1361,1657,1292
