"Crenshaw, AL",0.003374,0.543544,0.002874,0.002627,0.004948,0.035926,0.00348,0.004647,0.000815,0.000066,0.000048,0.225806,0.003891,0.003316,0.002981,0.003743,0.007513,0,0.001847,0.001714,0.001211,0.000808,0.001577,0,0.003205,0.255605,0.000732,0.002611,0.001702,0.001516,0.000819,0.410924,0.003399,0.004189,0.002653,0.003496,0.004076,0.249417,0.000121,0.003912,0.010334,0.00771,0.00705,0.00483,0.004713,0.005264,0.003895,0.003263,0.003541,0.004664,0.002694,0.003004,0.001298,0.001707,0.00096,0.001769,0.675673,0.008775,0.114724,0.383592,0.003378,0.159273,0.00284,0.003273,0.003482,0.004446,0.004196,0.000728,0.000747,0.545,0.241189,0.104,0.100552,0.026
"Cullman, AL",0.020077,0.51952,0.016232,0.016126,0.028394,0.062698,0.020602,0.034387,0.006184,0.001596,0.001501,0.16129,0.019455,0.024614,0.0308,0.026693,0.033434,0.013046,0.016195,0.010476,0.009282,0.007276,0.018232,0.001113,0.018792,0.26009,0.00442,0.002611,0.008695,0.008523,0.002847,0.341675,0.0175,0.010131,0.006332,0.022071,0.02299,0.219114,0.002065,0.022789,0.034752,0.034068,0.030012,0.025561,0.028967,0.02472,0.026641,0.020669,0.02247,0.02465,0.021037,0.015943,0.012946,0.01245,0.009884,0.006413,0.787831,0.023706,0.174666,0.354767,0.019628,0.162301,0.013674,0.019473,0.019781,0.033263,0.001104,0.005209,0.001356,0.506,0.223568,0.135,0.121547,0.027
"Dale, AL",0.011816,0.405405,0.010862,0.010879,0.013951,0.035572,0.012316,0.012082,0.001518,0.009043,0.004355,0.139785,0.027237,0.010075,0.007948,0.011556,0.013524,0.007828,0.006961,0.006476,0.008636,0.009701,0.006603,0.000766,0.009887,0.246637,0.005181,0,0.007622,0.007724,0.002886,0.626606,0.009,0.003604,0.006155,0.012746,0.013495,0.184149,0.001686,0.013895,0.019146,0.017931,0.019587,0.013657,0.015814,0.015712,0.01417,0.019489,0.016724,0.015873,0.012746,0.011681,0.009825,0.006491,0.004029,0.003066,0.675836,0.021804,0.216097,0.286031,0.012259,0.160267,0.011197,0.012162,0.012355,0.015913,0.012481,0.004736,0.00211,0.453,0.241189,0.13,0.138122,0.036
"Dallas, AL",0.010288,0.453453,0.010094,0.008419,0.013818,0.0278,0.010913,0.011152,0.002107,0.002394,0.001542,0.139785,0.019455,0.007142,0.010432,0.015055,0.004884,0.006523,0.006393,0.006095,0.003874,0.005659,0.010742,0,0.007451,0.641256,0.009922,0.013055,0.017389,0.015557,0.010023,0.370841,0.011204,0.000731,0.006014,0.009761,0.012522,0.111888,0.000184,0.01158,0.037094,0.024675,0.021346,0.014711,0.015529,0.013673,0.012121,0.009672,0.008354,0.008357,0.008177,0.007125,0.00586,0.004069,0.002786,0.002123,0.67077,0.034734,0.063543,0.702882,0.010688,0.156128,0.005592,0.009914,0.011455,0.005632,0.039231,0.001085,0.000589,0.597,0.227974,0.087,0.058564,0.026
"Elmore, AL",0.019452,0.456456,0.01629,0.01769,0.021307,0.043934,0.019601,0.020446,0.003036,0.008511,0.008276,0.107527,0.054475,0.021681,0.014903,0.017497,0.006386,0.009132,0.010371,0.008762,0.007506,0.003234,0.010939,0.009518,0.017802,0.242152,0.004215,0.005222,0.011538,0.013279,0.002574,0.342821,0.017541,0.0169,0.008172,0.021176,0.020663,0.198135,0.001272,0.021283,0.018032,0.017489,0.015221,0.018254,0.016503,0.021869,0.015929,0.01997,0.016933,0.02241,0.019887,0.020121,0.016539,0.01821,0.011552,0.00715,0.799815,0.018251,0.311934,0.241685,0.019358,0.174161,0.016026,0.018967,0.019746,0.026513,0.020503,0.003638,0.002047,0.478,0.200441,0.148,0.148066,0.036
"Escambia, AL",0.009184,0.498498,0.007553,0.00811,0.012631,0.035522,0.009586,0.016729,0.002902,0.000465,0.000245,0.204301,0.031128,0.009693,0.009687,0.015137,0.009391,0.01696,0.00824,0.004,0.003551,0.001617,0.006997,0,0.007135,0.363229,0.005473,0.007833,0.005152,0.007515,0.002262,0.401618,0.008028,0.002581,0.006545,0.010952,0.010329,0.198135,0.000428,0.00982,0.022464,0.016179,0.016329,0.013657,0.010166,0.015818,0.00968,0.010735,0.010833,0.008759,0.00926,0.006114,0.005451,0.00256,0.001999,0.001917,0.718924,0.024334,0.11036,0.414634,0.009343,0.158864,0.005054,0.009679,0.009011,0.010468,0.015758,0.016443,0.000364,0.493,0.198238,0.171,0.112707,0.034
"Etowah, AL",0.025449,0.528529,0.020889,0.020964,0.037317,0.050728,0.026362,0.026952,0.004767,0.006982,0.006598,0.075269,0.027237,0.019003,0.026826,0.033529,0.017656,0.020874,0.021594,0.012571,0.011622,0.010509,0.029762,0.003383,0.022061,0.286996,0.010947,0.010444,0.017413,0.022955,0.0078,0.381066,0.022257,0.011592,0.01408,0.026939,0.030821,0.165501,0.002061,0.0291,0.045475,0.047268,0.047032,0.039193,0.038965,0.041418,0.037163,0.034405,0.030566,0.02661,0.024902,0.023176,0.01998,0.016762,0.00853,0.007018,0.774431,0.035488,0.187029,0.308204,0.025498,0.160097,0.024407,0.024826,0.026164,0.036933,0.020369,0.005719,0.002656,0.461,0.227974,0.168,0.123757,0.033
"Fayette, AL",0.004256,0.597598,0.003335,0.003195,0.0067,0.02866,0.004494,0.005576,0.001121,0.000199,0.000117,0.172043,0.007782,0.003443,0.005216,0.004639,0.007889,0.003914,0.002415,0.001143,0.001372,0.001617,0.00542,0,0.003279,0.394619,0.000732,0.002611,0.001678,0.00197,0.001287,0.306641,0.003433,0.000195,0.000283,0.004743,0.00534,0.156177,0.000121,0.004961,0.009662,0.010689,0.005148,0.005995,0.006388,0.007729,0.007383,0.005433,0.007292,0.007534,0.003181,0.003444,0.002107,0.002118,0.001228,0.000398,0.731343,0.008937,0.140664,0.361419,0.004193,0.157585,0.003428,0.004153,0.004233,0.006595,0.002539,0.000664,0.000146,0.499,0.231278,0.133,0.108287,0.025
"Franklin, AL",0.007626,0.456456,0.006846,0.0066,0.010365,0.035606,0.007869,0.016729,0.002133,0.000798,0.000786,0.129032,0.011673,0.004464,0.011923,0.009766,0.00864,0.005871,0.007529,0.00381,0.00226,0,0.0068,0,0.006485,0.318386,0.001873,0.002611,0.002867,0.003458,0.001248,0.363237,0.007852,0.00638,0.003573,0.0085,0.008921,0.249417,0.002817,0.008842,0.01463,0.016772,0.012758,0.013927,0.010945,0.011607,0.009621,0.008696,0.010704,0.008374,0.007696,0.006041,0.002703,0.003611,0.002392,0.002152,0.749319,0.015281,0.122669,0.4102,0.007727,0.159544,0.006243,0.007746,0.007708,0.011245,0.001584,0.002745,0.000249,0.515,0.234581,0.134,0.102762,0.026
"Geneva, AL",0.006366,0.582583,0.005212,0.005074,0.010112,0.03483,0.006578,0.006506,0.001982,0.001197,0.001403,0.064516,0.019455,0.008417,0.005216,0.008057,0.01127,0,0.00341,0.002476,0.002018,0.000808,0.003646,0,0.005373,0.269058,0.001727,0,0.003846,0.002723,0.001833,0.290821,0.005415,0,0.002901,0.007154,0.007637,0.18648,0.000549,0.007702,0.015344,0.012648,0.013644,0.010273,0.010348,0.008369,0.009985,0.006948,0.007259,0.006248,0.006342,0.004483,0.003494,0.001966,0.001165,0.00087,0.745397,0.011189,0.109328,0.356984,0.006526,0.160159,0.005817,0.00641,0.006642,0.010104,0.003274,0.00286,0.000265,0.486,0.261013,0.13,0.102762,0.023
